Clone,Bottleneck,Replicate,Phenotype
1,100,1,CRISPR
2,100,1,CRISPR
3,100,1,CRISPR
4,100,1,CRISPR
5,100,1,CRISPR
6,100,1,CRISPR
7,100,1,SM
8,100,1,CRISPR
9,100,1,CRISPR
10,100,1,CRISPR
11,100,1,CRISPR
12,100,1,CRISPR
13,100,1,SM
14,100,1,CRISPR
15,100,1,CRISPR
16,100,1,CRISPR
17,100,1,CRISPR
18,100,1,SM
19,100,1,CRISPR
20,100,1,CRISPR
21,100,1,CRISPR
22,100,1,CRISPR
23,100,1,SM
24,100,1,CRISPR
1,100,2,CRISPR
2,100,2,CRISPR
3,100,2,CRISPR
4,100,2,CRISPR
5,100,2,CRISPR
6,100,2,CRISPR
7,100,2,CRISPR
8,100,2,CRISPR
9,100,2,CRISPR
10,100,2,CRISPR
11,100,2,CRISPR
12,100,2,CRISPR
13,100,2,CRISPR
14,100,2,CRISPR
15,100,2,CRISPR
16,100,2,CRISPR
17,100,2,CRISPR
18,100,2,CRISPR
19,100,2,CRISPR
20,100,2,CRISPR
21,100,2,CRISPR
22,100,2,CRISPR
23,100,2,CRISPR
24,100,2,CRISPR
1,100,3,CRISPR
2,100,3,CRISPR
3,100,3,CRISPR
4,100,3,SM
5,100,3,CRISPR
6,100,3,CRISPR
7,100,3,CRISPR
8,100,3,CRISPR
9,100,3,SM
10,100,3,CRISPR
11,100,3,SM
12,100,3,CRISPR
13,100,3,CRISPR
14,100,3,CRISPR
15,100,3,CRISPR
16,100,3,SM
17,100,3,Sensitive
18,100,3,CRISPR
19,100,3,CRISPR
20,100,3,CRISPR
21,100,3,CRISPR
22,100,3,CRISPR
23,100,3,SM
24,100,3,CRISPR
1,100,4,CRISPR
2,100,4,CRISPR
3,100,4,CRISPR
4,100,4,CRISPR
5,100,4,Sensitive
6,100,4,CRISPR
7,100,4,SM
8,100,4,CRISPR
9,100,4,CRISPR
10,100,4,CRISPR
11,100,4,CRISPR
12,100,4,CRISPR
13,100,4,CRISPR
14,100,4,CRISPR
15,100,4,CRISPR
16,100,4,CRISPR
17,100,4,SM
18,100,4,CRISPR
19,100,4,CRISPR
20,100,4,CRISPR
21,100,4,CRISPR
22,100,4,CRISPR
23,100,4,CRISPR
24,100,4,SM
1,100,5,CRISPR
2,100,5,CRISPR
3,100,5,CRISPR
4,100,5,Sensitive
5,100,5,CRISPR
6,100,5,CRISPR
7,100,5,CRISPR
8,100,5,CRISPR
9,100,5,CRISPR
10,100,5,CRISPR
11,100,5,SM
12,100,5,CRISPR
13,100,5,CRISPR
14,100,5,CRISPR
15,100,5,Sensitive
16,100,5,CRISPR
17,100,5,CRISPR
18,100,5,Sensitive
19,100,5,CRISPR
20,100,5,CRISPR
21,100,5,CRISPR
22,100,5,CRISPR
23,100,5,CRISPR
24,100,5,CRISPR
1,100,6,CRISPR
2,100,6,CRISPR
3,100,6,CRISPR
4,100,6,SM
5,100,6,CRISPR
6,100,6,CRISPR
7,100,6,CRISPR
8,100,6,SM
9,100,6,SM
10,100,6,CRISPR
11,100,6,CRISPR
12,100,6,CRISPR
13,100,6,CRISPR
14,100,6,CRISPR
15,100,6,CRISPR
16,100,6,CRISPR
17,100,6,CRISPR
18,100,6,CRISPR
19,100,6,CRISPR
20,100,6,CRISPR
21,100,6,CRISPR
22,100,6,CRISPR
23,100,6,CRISPR
24,100,6,CRISPR
1,1000,1,SM
2,1000,1,SM
3,1000,1,CRISPR
4,1000,1,CRISPR
5,1000,1,CRISPR
6,1000,1,CRISPR
7,1000,1,CRISPR
8,1000,1,CRISPR
9,1000,1,SM
10,1000,1,CRISPR
11,1000,1,CRISPR
12,1000,1,CRISPR
13,1000,1,SM
14,1000,1,SM
15,1000,1,CRISPR
16,1000,1,CRISPR
17,1000,1,SM
18,1000,1,CRISPR
19,1000,1,Sensitive
20,1000,1,CRISPR
21,1000,1,CRISPR
22,1000,1,CRISPR
23,1000,1,CRISPR
24,1000,1,CRISPR
1,1000,2,CRISPR
2,1000,2,CRISPR
3,1000,2,CRISPR
4,1000,2,CRISPR
5,1000,2,Sensitive
6,1000,2,CRISPR
7,1000,2,CRISPR
8,1000,2,CRISPR
9,1000,2,CRISPR
10,1000,2,CRISPR
11,1000,2,SM
12,1000,2,CRISPR
13,1000,2,SM
14,1000,2,CRISPR
15,1000,2,CRISPR
16,1000,2,CRISPR
17,1000,2,CRISPR
18,1000,2,CRISPR
19,1000,2,SM
20,1000,2,CRISPR
21,1000,2,CRISPR
22,1000,2,CRISPR
23,1000,2,SM
24,1000,2,CRISPR
1,1000,3,CRISPR
2,1000,3,CRISPR
3,1000,3,CRISPR
4,1000,3,CRISPR
5,1000,3,CRISPR
6,1000,3,CRISPR
7,1000,3,CRISPR
8,1000,3,CRISPR
9,1000,3,CRISPR
10,1000,3,CRISPR
11,1000,3,CRISPR
12,1000,3,CRISPR
13,1000,3,CRISPR
14,1000,3,CRISPR
15,1000,3,CRISPR
16,1000,3,CRISPR
17,1000,3,SM
18,1000,3,CRISPR
19,1000,3,CRISPR
20,1000,3,CRISPR
21,1000,3,SM
22,1000,3,CRISPR
23,1000,3,CRISPR
24,1000,3,CRISPR
1,1000,4,CRISPR
2,1000,4,SM
3,1000,4,CRISPR
4,1000,4,CRISPR
5,1000,4,CRISPR
6,1000,4,CRISPR
7,1000,4,Sensitive
8,1000,4,CRISPR
9,1000,4,CRISPR
10,1000,4,CRISPR
11,1000,4,CRISPR
12,1000,4,Sensitive
13,1000,4,CRISPR
14,1000,4,Sensitive
15,1000,4,CRISPR
16,1000,4,CRISPR
17,1000,4,CRISPR
18,1000,4,CRISPR
19,1000,4,CRISPR
20,1000,4,CRISPR
21,1000,4,CRISPR
22,1000,4,CRISPR
23,1000,4,Sensitive
24,1000,4,CRISPR
1,1000,5,CRISPR
2,1000,5,SM
3,1000,5,CRISPR
4,1000,5,CRISPR
5,1000,5,CRISPR
6,1000,5,CRISPR
7,1000,5,SM
8,1000,5,CRISPR
9,1000,5,CRISPR
10,1000,5,CRISPR
11,1000,5,CRISPR
12,1000,5,CRISPR
13,1000,5,CRISPR
14,1000,5,CRISPR
15,1000,5,CRISPR
16,1000,5,CRISPR
17,1000,5,CRISPR
18,1000,5,CRISPR
19,1000,5,CRISPR
20,1000,5,CRISPR
21,1000,5,Sensitive
22,1000,5,SM
23,1000,5,CRISPR
24,1000,5,CRISPR
1,1000,6,SM
2,1000,6,CRISPR
3,1000,6,CRISPR
4,1000,6,CRISPR
5,1000,6,CRISPR
6,1000,6,CRISPR
7,1000,6,SM
8,1000,6,CRISPR
9,1000,6,CRISPR
10,1000,6,SM
11,1000,6,CRISPR
12,1000,6,SM
13,1000,6,CRISPR
14,1000,6,CRISPR
15,1000,6,CRISPR
16,1000,6,SM
17,1000,6,CRISPR
18,1000,6,CRISPR
19,1000,6,CRISPR
20,1000,6,CRISPR
21,1000,6,CRISPR
22,1000,6,CRISPR
23,1000,6,CRISPR
24,1000,6,CRISPR
1,10000,1,CRISPR
2,10000,1,CRISPR
3,10000,1,CRISPR
4,10000,1,CRISPR
5,10000,1,CRISPR
6,10000,1,CRISPR
7,10000,1,CRISPR
8,10000,1,CRISPR
9,10000,1,CRISPR
10,10000,1,CRISPR
11,10000,1,SM
12,10000,1,CRISPR
13,10000,1,Sensitive
14,10000,1,CRISPR
15,10000,1,CRISPR
16,10000,1,SM
17,10000,1,Sensitive
18,10000,1,CRISPR
19,10000,1,CRISPR
20,10000,1,CRISPR
21,10000,1,CRISPR
22,10000,1,CRISPR
23,10000,1,SM
24,10000,1,CRISPR
1,10000,2,CRISPR
2,10000,2,SM
3,10000,2,CRISPR
4,10000,2,CRISPR
5,10000,2,CRISPR
6,10000,2,CRISPR
7,10000,2,CRISPR
8,10000,2,Sensitive
9,10000,2,CRISPR
10,10000,2,SM
11,10000,2,SM
12,10000,2,CRISPR
13,10000,2,CRISPR
14,10000,2,CRISPR
15,10000,2,CRISPR
16,10000,2,CRISPR
17,10000,2,Sensitive
18,10000,2,CRISPR
19,10000,2,CRISPR
20,10000,2,CRISPR
21,10000,2,CRISPR
22,10000,2,CRISPR
23,10000,2,Sensitive
24,10000,2,CRISPR
1,10000,3,CRISPR
2,10000,3,CRISPR
3,10000,3,SM
4,10000,3,SM
5,10000,3,SM
6,10000,3,SM
7,10000,3,CRISPR
8,10000,3,CRISPR
9,10000,3,CRISPR
10,10000,3,SM
11,10000,3,CRISPR
12,10000,3,CRISPR
13,10000,3,CRISPR
14,10000,3,CRISPR
15,10000,3,CRISPR
16,10000,3,CRISPR
17,10000,3,CRISPR
18,10000,3,SM
19,10000,3,CRISPR
20,10000,3,CRISPR
21,10000,3,CRISPR
22,10000,3,CRISPR
23,10000,3,Sensitive
24,10000,3,CRISPR
1,10000,4,CRISPR
2,10000,4,CRISPR
3,10000,4,CRISPR
4,10000,4,SM
5,10000,4,CRISPR
6,10000,4,CRISPR
7,10000,4,Sensitive
8,10000,4,CRISPR
9,10000,4,CRISPR
10,10000,4,CRISPR
11,10000,4,Sensitive
12,10000,4,SM
13,10000,4,CRISPR
14,10000,4,CRISPR
15,10000,4,CRISPR
16,10000,4,CRISPR
17,10000,4,CRISPR
18,10000,4,CRISPR
19,10000,4,CRISPR
20,10000,4,CRISPR
21,10000,4,CRISPR
22,10000,4,CRISPR
23,10000,4,SM
24,10000,4,SM
1,10000,5,SM
2,10000,5,Sensitive
3,10000,5,CRISPR
4,10000,5,CRISPR
5,10000,5,CRISPR
6,10000,5,Sensitive
7,10000,5,CRISPR
8,10000,5,CRISPR
9,10000,5,CRISPR
10,10000,5,CRISPR
11,10000,5,SM
12,10000,5,CRISPR
13,10000,5,CRISPR
14,10000,5,CRISPR
15,10000,5,CRISPR
16,10000,5,SM
